S.no,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
192,Limeade concentrate frozen,6-oz. can,218,405,t,t,0,t,108,Fruits G-P
193,Olives large,10,65,72,1,10,9,0.8,3,Fruits G-P
194,OlivesRipe,10,65,105,1,13,12,1,1,Fruits G-P
195,"Oranges 3"" diameter",1 med.,180,60,2,t,t,1,16,Fruits G-P
196,Orange juice,8 oz. or,250,112,2,t,0,0.2,25,Fruits G-P
197,Frozen ,6-oz. can,210,330,2,t,t,0.4,78,Fruits G-P
198,Papaya,1/2 med.,200,75,1,t,0,1.8,18,Fruits G-P
199,Peaches,1 cup,257,200,1,t,0,1,52,Fruits G-P
200,"Fresh, raw",1 med.,114,35,1,t,0,0.6,10,Fruits G-P
201,Pears,1 cup,255,195,1,t,0,2,50,Fruits G-P
202,"Raw, 3 by 2V",1 med.,182,100,1,1,0,2,25,Fruits G-P
203,Persimmons,1 med.,125,75,1,t,0,2,20,Fruits G-P
204,Pineapple,1 large slice,122,95,t,t,0,0.4,26,Fruits G-P
205,Pineapple Crushed,1 cup,260,205,1,t,0,0.7,55,Fruits G-P
206,"Raw, diced",1 cup,140,75,1,t',0,0.6,19,Fruits G-P
207,Pineapple juice,1 cup,250,120,1,t,0,0.2,32,Fruits G-P
208,Plums,1 cup,256,185,1,t,0,0.7,50,Fruits G-P
209,"Raw, 2"" diameter",1,60,30,t,t,0,0.2,7,Fruits G-P
210,Prunes,1 cup,270,300,3,1,0,0.8,81,Fruits G-P
211,Prune juice,1 cup,240,170,1,t,0,0.7,45,Fruits G-P
212,Raisins,1/2 cup,88,230,2,t,0,0.7,82,Fruits R-Z
213,Raspberries,1/2 cup,100,100,t,t,0,2,25,Fruits R-Z
214,"Raw, red",3/4 cup,100,57,t,t,0,5,14,Fruits R-Z
215,Rhubarb sweetened,1 cup,270,385,1,t,0,1.9,98,Fruits R-Z
216,Strawberries,1 cup,227,242,1,t,0,1.3,60,Fruits R-Z
217,Raw,1 cup,149,54,t,t,0,1.9,12,Fruits R-Z
218,Tangerines,I med.,114,40,1,t,0,1,10,Fruits R-Z
219,Watermelon,1 wedge,925,120,2,1,0,3.6,29,Fruits R-Z
220,Biscuits,1,38,130,3,4,3,t,18,"Breads, cereals, fastfood,grains"
221,Bran flakes,1 cup,25,117,3,t,0,0.1,32,"Breads, cereals, fastfood,grains"
222,"Bread, cracked wheat",1 slice,23,60,2,1,1,0.1,12,"Breads, cereals, fastfood,grains"
223,Rye,1 slice,23,55,2,1,1,0.1,12,"Breads, cereals, fastfood,grains"
224,"White, 20 slices, or",1-lb. loaf,454,"1,225",39,15,12,9,229,"Breads, cereals, fastfood,grains"
225,Whole-wheat,1-lb. loaf,454,"1,100",48,14,10,67.5,216,"Breads, cereals, fastfood,grains"
226,Whole-wheat,1 slice,23,55,2,1,0,0.31,11,"Breads, cereals, fastfood,grains"
227,Corn bread ground meal,1 serving,50,100,3,4,2,0.3,15,"Breads, cereals, fastfood,grains"
228,Cornflakes,1 cup,25,110,2,t,0,0.1,25,"Breads, cereals, fastfood,grains"
229,Corn grits cooked,1 cup,242,120,8,t,0,0.2,27,"Breads, cereals, fastfood,grains"
230,Corn meal,1 cup,118,360,9,4,2,1.6,74,"Breads, cereals, fastfood,grains"
231,Crackers,2 med.,14,55,1,1,0,t,10,"Breads, cereals, fastfood,grains"
232,"Soda, 2 1/2 square",2,11,45,1,1,0,t,8,"Breads, cereals, fastfood,grains"
233,Farina,1 cup,238,105,3,t,0,8,22,"Breads, cereals, fastfood,grains"
234,Flour,1 cup,110,460,39,22,0,2.9,33,"Breads, cereals, fastfood,grains"
235,Wheat (all purpose),1 cup,110,400,12,1,0,0.3,84,"Breads, cereals, fastfood,grains"
236,Wheat (whole),1 cup,120,390,13,2,0,2.8,79,"Breads, cereals, fastfood,grains"
237,Macaroni,1 cup,140,155,5,1,0,0.1,32,"Breads, cereals, fastfood,grains"
238,Baked with cheese,1 cup,220,475,18,25,24,t,44,"Breads, cereals, fastfood,grains"
239,Muffins,1,48,135,4,5,4,t,19,"Breads, cereals, fastfood,grains"
240,Noodles,1 cup,160,200,7,2,2,0.1,37,"Breads, cereals, fastfood,grains"
241,Oatmeal,1 cup,236,150,5,3,2,4.6,26,"Breads, cereals, fastfood,grains"
242,"Pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
243,"Wheat, pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,"Breads, cereals, fastfood,grains"
